Order_ID,Order_Date,Customer_ID,Customer_Name,Category,Product,Quantity,Unit_Price,Sales,Discount,Profit,Region,Payment_Method
ORD-10002,2025-09-28,CUST-0107,Customer 107,Electronics,Keyboard,5,726.3,3449.92,0.05,714.14,East,Bank Transfer
ORD-10003,2025-05-30,CUST-0053,Customer 53,Office Supplies,Pen Set,2,58.59,99.6,0.15,43.82,West,Bank Transfer
ORD-10004,2025-01-22,CUST-0108,Customer 108,Office Supplies,Printer Paper,1,25.42,22.88,0.1,9.97,West,Cash
ORD-10005,2025-12-30,CUST-0055,Customer 55,Electronics,Headphones,4,721.09,2884.36,0.0,553.14,North,Credit Card
ORD-10006,2025-03-30,CUST-0060,Customer 60,Electronics,Monitor,6,974.87,5556.76,0.05,1150.64,West,Cash
ORD-10007,2025-09-21,CUST-0047,Customer 47,Furniture,Table Lamp,3,639.24,1917.72,0.0,556.38,South,Debit Card
ORD-10008,2025-07-10,CUST-0018,Customer 18,Furniture,Sofa,2,331.34,629.55,0.05,177.66,East,Cash
ORD-10009,2025-07-27,CUST-0109,Customer 109,Electronics,Keyboard,2,659.14,1186.45,0.1,214.8,West,Cash
ORD-10010,2025-01-15,CUST-0045,Customer 45,Electronics,Keyboard,1,43.37,41.2,0.05,8.16,West,Mobile Banking
ORD-10011,2025-10-16,CUST-0005,Customer 5,Electronics,Headphones,2,446.2,892.4,0.0,164.3,West,Cash
ORD-10012,2025-04-09,CUST-0044,Customer 44,Electronics,Keyboard,6,1067.47,6084.58,0.05,1255.93,South,Mobile Banking
ORD-10013,2025-09-12,CUST-0014,Customer 14,Office Supplies,Printer Paper,7,6.11,38.49,0.1,16.81,West,Bank Transfer
ORD-10014,2025-02-21,CUST-0096,Customer 96,Electronics,Laptop,4,1091.39,4365.56,0.0,863.02,East,Bank Transfer
ORD-10015,2025-08-31,CUST-0086,Customer 86,Electronics,Headphones,4,1117.39,3799.13,0.15,725.63,South,Cash
ORD-10016,2025-12-06,CUST-0030,Customer 30,Accessories,Phone Case,6,100.77,513.93,0.15,186.62,East,Credit Card
ORD-10017,2025-05-01,CUST-0116,Customer 116,Electronics,Headphones,5,1036.36,5181.8,0.0,1008.78,North,Bank Transfer
ORD-10018,2025-06-21,CUST-0024,Customer 24,Office Supplies,Printer Paper,7,15.96,111.72,0.0,47.29,West,Credit Card
ORD-10019,2025-02-21,CUST-0012,Customer 12,Electronics,Smartphone,6,843.16,4553.06,0.1,935.92,West,Credit Card
ORD-10020,2025-05-10,CUST-0092,Customer 92,Electronics,Smartphone,6,63.83,363.83,0.05,69.48,South,Debit Card
ORD-10021,2025-06-09,CUST-0070,Customer 70,Furniture,Desk,7,480.33,3026.08,0.1,916.51,East,Bank Transfer
ORD-10022,2025-08-28,CUST-0016,Customer 16,Office Supplies,Pen Set,1,14.61,13.88,0.05,5.82,East,Cash
ORD-10023,2025-12-12,CUST-0067,Customer 67,Electronics,Monitor,7,291.13,1834.12,0.1,375.57,North,Debit Card
ORD-10024,2025-05-31,CUST-0031,Customer 31,Accessories,USB Cable,6,127.67,766.02,0.0,294.73,West,Credit Card
ORD-10025,2025-01-02,CUST-0001,Customer 1,Furniture,Office Chair,6,631.13,3218.76,0.15,936.68,North,Credit Card
ORD-10026,2025-06-01,CUST-0054,Customer 54,Electronics,Headphones,1,779.39,779.39,0.0,159.89,South,Cash
ORD-10027,2025-04-09,CUST-0025,Customer 25,Office Supplies,Notebook,5,24.86,118.08,0.05,50.23,East,Bank Transfer
ORD-10028,2025-03-09,CUST-0033,Customer 33,Electronics,Laptop,6,407.34,2199.64,0.1,419.06,East,Mobile Banking
ORD-10029,2025-06-25,CUST-0076,Customer 76,Office Supplies,Notebook,3,31.31,93.93,0.0,40.64,South,Bank Transfer
ORD-10030,2025-01-27,CUST-0098,Customer 98,Furniture,Bookshelf,5,366.77,1650.46,0.1,487.26,North,Cash
ORD-10031,2025-01-04,CUST-0035,Customer 35,Office Supplies,Pen Set,1,6.36,5.09,0.2,2.17,South,Bank Transfer
ORD-10032,2025-08-21,CUST-0037,Customer 37,Accessories,Phone Case,5,81.65,326.6,0.2,117.93,North,Cash
ORD-10033,2025-06-10,CUST-0067,Customer 67,Electronics,Keyboard,2,679.24,1154.71,0.15,218.38,West,Debit Card
